Year,MI,FI
2017,58927,37537
2016,57147,36157
2015,54757,34453
2014,53196,32588
2013,50779,31968
2012,49915,31368
2011,48948,30553
2010,47077,29745
2009,46800,29723
2008,47751,29087
2007,47137,29249
2006,46677,28416
2005,44850,26261
2004,42831,25027
2003,41483,24630
2002,41057,23619
2001,40859,23602
2000,40254,22428
1999,38384,21312
1998,36315,20462
1997,34794,19511
1996,32800,18369
1995,31454,17265
1994,30367,16478
1993,28939,15761
1992,26810,14922
1991,26369,14449
1990,26041,13913
1989,25746,13226
1988,24054,12311
1987,22798,11538
1986,21822,10741
1985,20652,10173
1984,19438,9584
1983,18109,8780
1982,17381,8195
1981,16515,7440
1980,15340,6772
1979,14311,6026
1978,13113,5599
1977,12063,5291
1976,11165,4875
1975,10429,4513
1974,9861,4161
1973,9289,3799
1972,8635,3577
1971,7892,3333
1970,7537,3138
1969,7202,2945
1968,6626,2732
1967,6054,2483
