year,maleQuantity,femaleQuantity,maleActual,femaleActual,male2017,female2017
2017,114849,116618,58927,37537,58927,37537
2016,113158,115371,57147,36157,58376,36935
2015,112322,114440,54757,34453,56656,35648
2014,110372,112599,53196,32588,55136,33776
2013,108706,109956,50779,31968,53522,33695
2012,107534,109383,49915,31368,53391,33552
2011,106228,108332,48948,30553,53465,33373
2010,105191,107220,47077,29745,53042,33514
2009,105025,106229,46800,29723,53600,34042
2008,105428,106403,47751,29087,54499,33198
2007,104789,105230,47137,29249,55865,34665
2006,103909,104582,46677,28416,56889,34633
2005,102986,104245,44850,26261,56434,33044
2004,101772,103384,42831,25027,55719,32558
2003,100769,102713,41483,24630,55423,32907
2002,99788,102487,41057,23619,56100,32273
2001,98873,101941,40859,23602,56709,32758
2000,98504,101704,40254,22428,57460,32015
1999,97063,101036,38384,21312,56650,31454
1998,94948,98694,36315,20462,54738,30843
1997,94168,97447,34794,19511,53155,29807
1996,93439,96558,32800,18369,51192,28669
1995,92066,96007,31454,17265,50399,27664
1994,91254,95147,30367,16478,49829,27039
1993,90194,94417,28939,15761,48478,26402
1992,90175,93517,26810,14922,46044,25627
1991,88653,92569,26369,14449,46413,25432
1990,88220,92245,26041,13913,47503,25379
1989,87454,91399,25746,13226,49281,25316
1988,86584,90593,24054,12311,48055,24595
1987,85713,89661,22798,11538,47191,23883
1986,84471,87822,21822,10741,46724,22998
1985,83631,86531,20652,10173,44993,22163
1984,82183,85555,19438,9584,43802,21597
1983,80909,83830,18109,8780,42506,20608
1982,79722,82505,17381,8195,42539,20057
1981,79688,82139,16515,7440,42861,19309
1980,78661,80826,15340,6772,43570,19234
1979,78129,79921,14311,6026,45199,19032
1978,75609,71864,13113,5599,45343,19361
1977,74015,65407,12063,5291,44573,19550
1976,72775,63170,11165,4875,43858,19150
1975,71234,60807,10429,4513,43324,18748
1974,70863,59642,9861,4161,44332,18706
1973,69387,57029,9289,3799,45936,18787
1972,67474,54487,8635,3577,45375,18796
1971,66486,52603,7892,3333,42714,18039
1970,65008,51647,7537,3138,42580,17728
1969,63882,50224,7202,2945,42692,17457
1968,62501,48544,6626,2732,41029,16917
1967,61444,46843,6054,2483,38957,15978
