year,maleQuantity,maleActual,male2017,femaleQuantity,femaleActual,female2017
2017,19204,71704,71704,18244,47375,47375
2016,18793,71081,72610,17864,44602,45561
2015,18733,67457,69796,17921,42116,43577
2014,18570,64387,66735,17833,41076,42574
2013,18477,61738,65073,17356,39061,41171
2012,18583,60742,64971,17542,38967,41680
2011,18612,59062,64513,17672,37839,41331
2010,18723,57087,64321,17755,37206,41921
2009,19087,57901,66314,17913,35931,41152
2008,19733,58740,67041,18477,35538,40560
2007,20108,58429,69248,18824,35411,41968
2006,20374,58716,71561,19199,34762,42367
2005,20566,54425,68482,19552,32152,40456
2004,20611,53815,70008,19738,30780,40042
2003,20781,50874,67970,20010,29852,39884
2002,20979,51846,70842,20487,28282,38644
2001,21166,51886,72014,20647,28543,39616
2000,21460,50064,71463,20894,27936,39877
1999,21371,46791,69058,21055,25778,38045
1998,21539,44191,66609,20970,25518,38463
1997,21456,42397,64771,20809,23774,36320
1996,21181,41614,64949,20637,23260,36303
1995,20773,39883,63905,20458,21823,34967
1994,20386,38496,63168,20131,21027,34503
1993,19948,37340,62551,19667,20052,33591
1992,19657,34671,59544,19355,18772,32239
1991,19162,33875,59624,18872,18430,32439
1990,18755,34468,62875,18546,17667,32227
1989,18073,34133,65334,17692,16731,32025
1988,17400,32950,65827,17044,15624,31213
1987,16803,31297,64783,16465,14875,30791
1986,16289,29709,63612,15919,13710,29355
1985,15694,28455,61993,15271,12705,27680
1984,15075,26894,60604,14636,11828,26654
1983,14458,25234,59229,13990,10871,25516
1982,13852,23966,58656,13291,9872,24161
1981,13251,23254,60350,12650,8993,23339
1980,12659,21485,61023,11976,8117,23055
1979,12325,20423,64503,11651,7205,22756
1978,11852,18571,64216,10243,6936,23984
1977,11492,17233,63676,8981,6701,24760
1976,11117,15893,62431,8568,6060,23805
1975,11026,14731,61196,8188,5541,23018
1974,10913,14023,63042,7878,5175,23265
1973,10926,13060,64584,7645,4736,23420
1972,10854,12172,63961,7425,4482,23552
1971,10909,11005,59562,7302,4172,22580
1970,10913,10499,59314,7293,3885,21948
1969,11039,10042,59526,7359,3592,21292
1968,11095,9115,56441,7229,3294,20397
1967,11294,8443,54330,7247,3256,20952
