year,maleQuantity,femaleQuantity,maleActual,femaleActual,male2017,female2017
2017,19394,19170,74954,47448,74954,47448
2016,19522,19167,75005,45956,76618,46944
2015,19788,19484,71501,43626,73981,45139
2014,19879,19502,70358,40742,72923,42228
2013,19835,19539,66527,40292,70120,42468
2012,20183,19757,64396,39210,68880,41940
2011,20320,19954,63965,38138,69868,41658
2010,20432,20289,60713,37414,68406,42155
2009,20719,20418,60756,37678,69584,43153
2008,20795,20490,62339,36612,71149,41786
2007,20682,20243,60802,37645,72060,44615
2006,20427,20135,62294,36740,75922,44778
2005,20152,19919,60990,34445,76742,43341
2004,19799,19593,56917,33191,74043,43178
2003,19417,19303,55309,32583,73895,43532
2002,18971,19094,56191,31185,76779,42611
2001,18768,18713,55176,30743,76580,42669
2000,18488,18387,55853,29655,79727,42331
1999,17793,17923,53666,28117,79205,41497
1998,16821,16915,49910,27081,75230,40819
1997,16203,16231,48796,26078,74547,39840
1996,15748,15693,47295,24276,73815,37889
1995,14920,15139,45261,22680,72522,36340
1994,14714,14666,44674,22051,73306,36184
1993,14090,13999,44028,20557,73755,34437
1992,13612,13331,38829,19714,66685,33857
1991,12891,12945,37763,18330,66467,32263
1990,12209,12278,37182,17831,67826,32526
1989,12088,12007,37620,16524,72009,31629
1988,11702,11687,34415,15435,68754,30836
1987,11398,11180,33203,14272,68729,29542
1986,10966,10791,31717,12750,67911,27300
1985,10768,10612,29756,11942,64827,26017
1984,10628,10409,27513,11397,61999,25682
1983,10531,10325,26222,10307,61548,24193
1982,10501,10169,24566,9492,60124,23231
1981,10597,10285,23232,8663,60293,22483
1980,10703,10381,21965,8012,62387,22756
1979,10808,10431,20292,7073,64089,22339
1978,10929,9306,18874,6806,65264,23534
1977,11026,8384,17149,6736,63365,24889
1976,11147,8388,15861,6250,62305,24551
1975,11192,8191,14762,5855,61324,24323
1974,11288,8334,13947,5496,62701,24708
1973,11274,8076,13037,4964,64471,24548
1972,11157,7869,12092,4715,63540,24776
1971,11121,7903,11066,4425,59892,23949
1970,11084,7884,10475,4192,59178,23683
1969,10992,7764,9873,3956,58525,23450
1968,10857,7580,8967,3631,55525,22484
1967,10752,7247,8342,3453,53680,22220
