year,maleQuantity,femaleQuantity,maleActual,femaleActual,male2017,female2017
2017,22454,26802,52697,29749,52697,29749
2016,21604,25896,50586,28537,51674,29151
2015,20656,25266,48634,27549,50321,28504
2014,19951,24482,48351,26172,50114,27126
2013,19216,23717,44847,24943,47269,26290
2012,18798,23045,44185,23601,47262,25244
2011,17918,22276,42248,22958,46147,25077
2010,16966,21495,39799,22619,44842,25485
2009,16406,20901,38754,22625,44385,25913
2008,15913,20593,39046,21582,44564,24632
2007,15317,20167,38469,21045,45592,24942
2006,15064,19757,35605,19771,43394,24096
2005,14820,19598,35728,18199,44956,22899
2004,14834,19350,32718,17256,42563,22448
2003,14554,19225,31625,16818,42252,22470
2002,14273,19061,29385,16124,40151,22032
2001,13941,18969,30238,16311,41968,22638
2000,13901,18956,29573,15759,42214,22495
1999,13817,18924,29468,15616,43491,23047
1998,13501,18193,27997,15419,42200,23241
1997,13308,18093,26543,14820,40550,22641
1996,13173,18026,24302,13938,37929,21754
1995,13092,17990,23967,12973,38403,20787
1994,12829,17847,22700,12402,37249,20351
1993,12569,17655,21398,11891,35845,19919
1992,12463,17641,20505,11383,35216,19549
1991,12717,17539,20381,11323,35873,19930
1990,12450,17285,20011,11441,36503,20870
1989,12260,17060,18850,11042,36081,21136
1988,12019,16728,17327,10140,34616,20258
1987,11730,16466,16558,9658,34274,19992
1986,11490,16126,16115,9195,34505,19688
1985,11171,15805,14940,8982,32549,19569
1984,10939,15584,14440,8800,32540,19830
1983,10673,15265,13158,7951,30885,18663
1982,10443,14989,12988,7435,31788,18197
1981,10240,14707,11720,6659,30416,17282
1980,10029,14324,10208,5798,28994,16468
1979,9861,13977,8952,5144,28274,16247
1978,9501,13208,8542,4665,29537,16131
1977,9145,12322,8035,4234,29689,15645
1976,9098,11788,7481,3875,29387,15222
1975,8880,11432,6991,3579,29042,14868
1974,8692,11096,6706,3276,30148,14728
1973,8463,10546,6081,2892,30072,14302
1972,8267,10101,5384,2743,28291,14414
1971,8199,9789,5010,2466,27116,13347
1970,8074,9337,4498,2279,25411,12875
1969,7958,9067,4306,2170,25525,12863
1968,7895,8791,3988,1987,24694,12304
1967,7795,8643,3667,1804,23597,11609
