CoC Number,CoC Name,CoC Category,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
AK-500,Anchorage CoC,Other Urban CoCs,"1,094",751,249,0,"1,000",94,814,618,102,0,720,94,280,133,147,280,0,87,39,48,87,0,177,150,0,150,27,163,136,0,136,27,14,14,14,0,62,50,8,0,58,4,97,55,39,0,94,3,5,5,0,0,5,0,92,50,39,0,89,3,15,6,9,15,0,1,0,1,1,0,14,6,8,14,0,14,5,9,14,0
AK-501,Alaska Balance of State CoC,Rural CoCs,922,497,210,0,707,215,620,335,118,0,453,167,302,162,92,254,48,106,61,27,88,18,180,125,0,125,55,160,107,0,107,53,20,18,18,2,70,37,15,0,52,18,66,31,25,0,56,10,3,3,0,0,3,0,63,28,25,0,53,10,11,8,1,9,2,0,0,0,0,0,11,8,1,9,2,12,9,1,10,2
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Suburban CoCs,901,431,219,32,682,219,720,322,147,32,501,219,181,109,72,181,0,54,28,26,54,0,119,82,13,95,24,114,77,13,90,24,5,5,5,0,133,86,30,0,116,17,26,14,7,0,21,5,4,4,0,0,4,0,22,10,7,0,17,5,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,7,1,6,7,0
AL-501,Mobile City & County/Baldwin County CoC,Other Urban CoCs,551,225,93,0,318,233,399,143,40,0,183,216,152,82,53,135,17,48,26,16,42,6,59,11,0,11,48,59,11,0,11,48,0,0,0,0,52,8,34,0,42,10,16,8,0,0,8,8,0,0,0,0,0,0,16,8,0,0,8,8,9,4,1,5,4,0,0,0,0,0,9,4,1,5,4,12,8,1,9,3
AL-502,Florence/Northwest Alabama CoC,Rural CoCs,256,128,106,0,234,22,166,63,81,0,144,22,90,65,25,90,0,41,29,12,41,0,136,122,0,122,14,77,63,0,63,14,59,59,59,0,8,0,0,0,0,8,17,0,16,0,16,1,16,0,16,0,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-503,Huntsville/North Alabama CoC,Other Urban CoCs,424,283,25,0,308,116,336,223,7,0,230,106,88,60,18,78,10,30,20,7,27,3,111,57,0,57,54,107,57,0,57,50,4,0,0,4,34,21,0,0,21,13,24,16,5,0,21,3,5,5,0,0,5,0,19,11,5,0,16,3,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,6,3,3,6,0
AL-504,Montgomery City & County CoC,Other Urban CoCs,369,173,127,0,300,69,272,146,57,0,203,69,97,27,70,97,0,28,8,20,28,0,63,41,0,41,22,63,41,0,41,22,0,0,0,0,54,43,5,0,48,6,21,14,5,0,19,2,9,8,1,0,9,0,12,6,4,0,10,2,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0
AL-505,Gadsden/Northeast Alabama CoC,Rural CoCs,146,74,4,8,86,60,119,47,4,8,59,60,27,27,0,27,0,8,8,0,8,0,35,7,0,7,28,35,7,0,7,28,0,0,0,0,8,5,0,0,5,3,13,3,0,8,11,2,8,0,0,8,8,0,5,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-506,Tuscaloosa City & County CoC,Other Urban CoCs,57,35,21,0,56,1,35,24,10,0,34,1,22,11,11,22,0,8,4,4,8,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,10,1,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
AL-507,Alabama Balance of State CoC,Rural CoCs,730,170,270,0,440,290,523,89,250,0,339,184,207,81,20,101,106,63,30,5,35,28,13,4,0,4,9,13,4,0,4,9,0,0,0,0,40,6,19,0,25,15,41,12,5,0,17,24,2,0,1,0,1,1,39,12,4,0,16,23,7,3,0,3,4,0,0,0,0,0,7,3,0,3,4,7,3,0,3,4
AR-500,Little Rock/Central Arkansas CoC,Other Urban CoCs,"1,081",335,196,0,531,550,950,274,158,0,432,518,131,61,38,99,32,47,21,14,35,12,232,82,0,82,150,222,82,0,82,140,10,0,0,10,124,40,30,0,70,54,74,0,36,0,36,38,14,0,12,0,12,2,60,0,24,0,24,36,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
AR-501,Fayetteville/Northwest Arkansas CoC,Other Urban CoCs,474,107,216,0,323,151,348,70,127,0,197,151,126,37,89,126,0,42,12,30,42,0,42,9,0,9,33,42,9,0,9,33,0,0,0,0,60,11,29,0,40,20,51,13,32,0,45,6,22,6,15,0,21,1,29,7,17,0,24,5,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,5,4,1,5,0
AR-503,Arkansas  Balance of State  CoC,Rural CoCs,768,243,66,0,309,459,666,170,54,0,224,442,102,73,12,85,17,35,26,4,30,5,107,21,0,21,86,107,21,0,21,86,0,0,0,0,31,14,0,0,14,17,92,16,3,0,19,73,0,0,0,0,0,0,92,16,3,0,19,73,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0
