year,geo_name,geo,soc_name,soc,num_ppl,num_ppl_moe,num_ppl_rca,avg_wage,avg_wage_moe
2014,United States,01000US,General & operations managers,111021,942521,8794.53,1,91801.1,758.383
2014,United States,01000US,Compensation & benefits managers,113111,15672,1039.93,1,90769,4972.22
2014,United States,01000US,Human resources managers,113121,350823,5355.11,1,80928.8,1019.75
2014,United States,01000US,Training & development managers,113131,53640,2199.73,1,76158.4,2131.56
2014,United States,01000US,Emergency management directors,119161,9642,943.776,1,69698.1,3698.33
2014,United States,01000US,"Agents & business managers of artists, performers, & athletes",131011,35348,1907.86,1,63676.3,3573.36
2014,United States,01000US,"Buyers & purchasing agents, farm products",131021,8871,993.801,1,59823.8,4916.8
2014,United States,01000US,"Wholesale & retail buyers, except farm products",131022,210615,4900.99,1,44836.7,976.871
2014,United States,01000US,"Purchasing agents, except wholesale, retail, & farm products",131023,253224,5181.41,1,58493,726.383
2014,United States,01000US,"Claims adjusters, appraisers, examiners, & investigators",131030,282560,5301.45,1,54787.4,563.575
2014,United States,01000US,Compliance officers,131041,202512,4247.67,1,73684,1055.86
2014,United States,01000US,Cost estimators,131051,124036,3436.35,1,65229.3,1194.49
2014,United States,01000US,Human resources workers,131070,668773,7331.16,1,63045,625.917
2014,United States,01000US,Logisticians,131081,113853,3468.7,1,58530,1198.26
2014,United States,01000US,Management analysts,131111,632685,7296.52,1,92757.1,846.686
2014,United States,01000US,"Meeting, convention, & event planners",131121,104044,3169.81,1,44592.3,1111.74
2014,United States,01000US,Fundraisers,131131,91092,2346.94,1,59410.4,1793.29
2014,United States,01000US,"Compensation, benefits, & job analysis specialists",131141,58597,1977.03,1,58455.8,1919.64
2014,United States,01000US,Training & development specialists,131151,124499,3438.33,1,58495.5,1183.59
2014,United States,01000US,Market research analysts & marketing specialists,131161,255173,4625.71,1,78322.2,1337.77
2014,United States,01000US,"Business operations specialists, all other",131199,246843,4650.14,1,64347.2,821.519
2014,United States,01000US,Accountants & auditors,132011,1908239,14028.6,1,71187.4,338.903
2014,United States,01000US,Appraisers & assessors of real estate,132021,67787,2264.59,1,58167.9,1525.19
2014,United States,01000US,Budget analysts,132031,46838,1886.38,1,74521.5,1418.91
2014,United States,01000US,Credit analysts,132041,27003,1390.43,1,63823.8,2851.02
2014,United States,01000US,Financial analysts,132051,95598,2791.45,1,119302,3264.51
2014,United States,01000US,Personal financial advisors,132052,307284,6086.2,1,119606,1992.45
2014,United States,01000US,Insurance underwriters,132053,104641,3080.58,1,69475.3,1449.18
2014,United States,01000US,Financial examiners,132061,13889,1056.23,1,86016.2,5022.5
2014,United States,01000US,Credit counselors & loan officers,132070,306505,5885.41,1,69276.9,1010.07
2014,United States,01000US,"Tax examiners & collectors, & revenue agents",132081,57736,1998.69,1,56074.2,1345.06
2014,United States,01000US,Tax preparers,132082,83283,2743.13,1,45097,2222.29
2014,United States,01000US,Other financial specialists,132099,67820,2594.66,1,86767.8,3158.74
2014,United States,01000US,Computer & information research scientists,151111,14827,1104.39,1,95528.6,3762.11
2014,United States,01000US,Computer systems analysts,151121,479233,6646.9,1,82628.9,741.517
2014,United States,01000US,Information security analysts,151122,54204,2371.04,1,86757.7,1825.28
2014,United States,01000US,Computer programmers,151131,436061,5070.65,1,80047.7,606.63
2014,United States,01000US,Web developers,151134,153265,3748.07,1,57180.4,1147.88
2014,United States,01000US,Database administrators,151141,109473,2904.78,1,77022.5,1190.5
2014,United States,01000US,Network & computer systems administrators,151142,220568,4442.49,1,69874.1,605.609
2014,United States,01000US,Computer network architects,151143,97806,3391.68,1,96335.5,1164.55
2014,United States,01000US,Computer support specialists,151150,538971,7330.79,1,55857.9,467.221
2014,United States,01000US,Other Computer Occupations,151199,390575,5910.23,1,69600.6,706.671
2014,United States,01000US,Actuaries,152011,25606,1566.17,1,136479,5675.56
2014,United States,01000US,Operations research analysts,152031,133776,3179.36,1,81294.3,1199.52
2014,United States,01000US,"Architects, except naval",171010,152305,3670.37,1,79519.1,1574.94
2014,United States,01000US,"Surveyors, cartographers, & photogrammetrists",171020,35996,1908.64,1,57287.1,1635.28
2014,United States,01000US,Aerospace engineers,172011,129179,3262.53,1,101513,1243.38
2014,United States,01000US,Chemical engineers,172041,55724,2264.32,1,102454,1992.14
2014,United States,01000US,Civil engineers,172051,294490,5977.96,1,87481,941.858
2014,United States,01000US,Computer hardware engineers,172061,56734,2234.9,1,94002.4,2227.24
2014,United States,01000US,Electrical & electronics engineers,172070,212735,4491.95,1,95950.1,958.403
2014,United States,01000US,Environmental engineers,172081,29153,1582.72,1,81669,2322.66
2014,United States,01000US,"Industrial engineers, including health & safety",172110,176023,3436.66,1,79707,813.518
2014,United States,01000US,Marine engineers & naval architects,172121,12168,846.543,1,83839.4,2548.76
2014,United States,01000US,Materials engineers,172131,32635,1659.86,1,82973.6,2319.92
2014,United States,01000US,Mechanical engineers,172141,219423,5091.51,1,81352,758.166
2014,United States,01000US,Drafters,173010,153389,3443.97,1,52047.3,650.747
2014,United States,01000US,"Engineering technicians, except drafters",173020,410913,5437.65,1,54760.9,467.169
2014,United States,01000US,Surveying & mapping technicians,173031,61859,2027.72,1,49016,1230
2014,United States,01000US,Agricultural & food scientists,191010,26997,1561.15,1,61783.1,3145.81
2014,United States,01000US,Biological scientists,191020,73117,2678.81,1,62170.1,1206.43
2014,United States,01000US,Conservation scientists & foresters,191030,22314,1175.72,1,58056.2,1441.29
2014,United States,01000US,Astronomers & physicists,192010,11737,897.067,1,94452.9,4735.38
2014,United States,01000US,Atmospheric & space scientists,192021,11757,947.588,1,78002.1,6198.13
2014,United States,01000US,Chemists & materials scientists,192030,82757,2458.28,1,75019.6,1489.17
2014,United States,01000US,Environmental scientists & geoscientists,192040,70576,2340.18,1,88133.3,2410.98
2014,United States,01000US,Other Physical Scientists,192099,195986,4464.52,1,78028.9,1184.42
2014,United States,01000US,Economists,193011,24824,1250.48,1,123782,4777.4
2014,United States,01000US,Psychologists,193030,146738,3590.22,1,66079.5,1043.36
2014,United States,01000US,Urban & regional planners,193051,21076,1227.82,1,73926,2556.88
2014,United States,01000US,Agricultural & food science technicians,194011,31800,1704.5,1,43195.2,1887.67
2014,United States,01000US,Biological technicians,194021,22045,1549.13,1,46169.2,2435.04
2014,United States,01000US,Counselors,211010,670053,8053.86,1,41203.6,285.154
2014,United States,01000US,Social workers,211020,778990,8453.57,1,43931.1,242.981
2014,United States,01000US,Probation officers & correctional treatment specialists,211092,91310,3102.73,1,50729,786.687
2014,United States,01000US,Social & human service assistants,211093,146287,3897.68,1,33703.7,635.884
2014,United States,01000US,Clergy,212011,431465,6299.56,1,42382.1,386.738
2014,United States,01000US,"Directors, religious activities & education",212021,55623,1971.74,1,36024.7,1069.6
2014,United States,01000US,"Religious workers, all other",212099,78951,2992.23,1,28814.7,760.26
2014,United States,01000US,Judicial law clerks,231012,17911,1175.18,1,61387.3,5102.46
2014,United States,01000US,Paralegals & legal assistants,232011,378341,4938.01,1,48975.7,553.61
2014,United States,01000US,Miscellaneous legal support workers,232090,178570,3724.88,1,54346.2,1116.49
2014,United States,01000US,Postsecondary teachers,251000,1425730,12951,1,56258.3,436.98
2014,United States,01000US,Preschool & kindergarten teachers,252010,556141,7339.48,1,23917,247.036
2014,United States,01000US,Elementary & middle school teachers,252020,3454503,27327.4,1,47410.7,104.388
2014,United States,01000US,Secondary school teachers,252030,780159,8234.64,1,50763.4,300.744
2014,United States,01000US,Special education teachers,252050,248025,5025.32,1,45384.9,510.489
2014,United States,01000US,Other teachers & instructors,253000,754830,9213.64,1,31854.7,334.653
2014,United States,01000US,"Archivists, curators, & museum technicians",254010,45278,1658.08,1,44779,1393.07
2014,United States,01000US,Librarians,254021,172721,3551.1,1,43084.7,463.138
2014,United States,01000US,Library technicians,254031,54780,2008.14,1,16891.7,751.496
2014,United States,01000US,Teacher assistants,259041,993177,7762.21,1,18766.7,153.977
2014,United States,01000US,Artists & related workers,271010,108801,3416.8,1,54825,1382.16
2014,United States,01000US,Designers,271020,655011,7139.17,1,50981.6,589.921
2014,United States,01000US,Actors,272011,25866,1702.05,1,43246,4063.35
2014,United States,01000US,Producers & directors,272012,132793,3353.8,1,75424.1,1796.41
2014,United States,01000US,"Athletes, coaches, umpires, & related workers",272020,247268,4593.18,1,33594.6,1192.29
2014,United States,01000US,Dancers & choreographers,272030,16771,1358.09,1,27587.7,2824.52
2014,United States,01000US,"Musicians, singers, & related workers",272040,133919,3933.14,1,32105,1449.22
2014,United States,01000US,"Entertainers & performers, sports & related workers, all other",272099,28052,1557.77,1,37155.6,2773.1
2014,United States,01000US,Announcers,273010,40801,2029.39,1,49600.1,3508.1
2014,United States,01000US,"News analysts, reporters & correspondents",273020,70374,2682.41,1,58880.8,2050.14
2014,United States,01000US,Public relations specialists,273031,123275,3391.59,1,73922.9,1615.77
2014,United States,01000US,Editors,273041,145388,3647.99,1,56279.7,1066
2014,United States,01000US,Technical writers,273042,53444,1913.67,1,67824.6,1591.54
2014,United States,01000US,Writers & authors,273043,145109,3299.71,1,60031.5,1658.7
2014,United States,01000US,Miscellaneous media & communication workers,273090,79748,2384.83,1,36173.7,1258.97
2014,United States,01000US,Photographers,274021,98933,3632.97,1,35406.4,1297.37
2014,United States,01000US,"Television, video, & motion picture camera operators & editors",274030,39940,1872.72,1,52785.5,2792.36
2014,United States,01000US,Chiropractors,291011,39320,2037.1,1,84888.3,5275.96
2014,United States,01000US,Dentists,291020,131449,3777.48,1,161711,3243.56
