year,geo_name,geo,income
2013,Alabama,04000US01,43253
2013,Alaska,04000US02,70760
2013,Arizona,04000US04,49774
2013,Arkansas,04000US05,40768
2013,California,04000US06,61094
2013,Colorado,04000US08,58433
2013,Connecticut,04000US09,69461
2013,Delaware,04000US10,59878
2013,District of Columbia,04000US11,65830
2013,Florida,04000US12,46956
2013,Georgia,04000US13,49179
2013,Hawaii,04000US15,67402
2013,Idaho,04000US16,46767
2013,Illinois,04000US17,56797
2013,Indiana,04000US18,48248
2013,Iowa,04000US19,51843
2013,Kansas,04000US20,51332
2013,Kentucky,04000US21,43036
2013,Louisiana,04000US22,44874
2013,Maine,04000US23,48453
2013,Maryland,04000US24,73538
2013,Massachusetts,04000US25,66866
2013,Michigan,04000US26,48411
2013,Minnesota,04000US27,59836
2013,Mississippi,04000US28,39031
2013,Missouri,04000US29,47380
2013,Montana,04000US30,46230
2013,Nebraska,04000US31,51672
2013,Nevada,04000US32,52800
2013,New Hampshire,04000US33,64916
2013,New Jersey,04000US34,71629
2013,New Mexico,04000US35,44927
2013,New York,04000US36,58003
2013,North Carolina,04000US37,46334
2013,North Dakota,04000US38,53741
2013,Ohio,04000US39,48308
2013,Oklahoma,04000US40,45339
2013,Oregon,04000US41,50229
2013,Pennsylvania,04000US42,52548
2013,Rhode Island,04000US44,56361
2013,South Carolina,04000US45,44779
2013,South Dakota,04000US46,49495
2013,Tennessee,04000US47,44298
2013,Texas,04000US48,51900
2013,Utah,04000US49,58821
2013,Vermont,04000US50,54267
2013,Virginia,04000US51,63907
2013,Washington,04000US53,59478
2013,West Virginia,04000US54,41043
2013,Wisconsin,04000US55,52413
2013,Wyoming,04000US56,57406
2013,Puerto Rico,04000US72,19624
2014,Alabama,04000US01,43511
2014,Alaska,04000US02,71829
2014,Arizona,04000US04,49928
2014,Arkansas,04000US05,41264
2014,California,04000US06,61489
2014,Colorado,04000US08,59448
2014,Connecticut,04000US09,69899
2014,Delaware,04000US10,60231
2014,District of Columbia,04000US11,69235
2014,Florida,04000US12,47212
2014,Georgia,04000US13,49342
